Nit,Productos_ahorro,Saldo_productos,Variacion_saldo_6m,Diversificacion_productos
48334882,8,153030459.89,-0.48,3
62441466,2,102146315.82,-0.19,3
59583876,0,0.0,0.62,2
96117865,8,148255678.63,-0.75,2
73203558,0,0.0,0.51,2
47407771,8,161250202.83,-0.31,1
93122310,2,171736418.26,-0.52,2
37009224,5,127785131.4,0.84,2
61327755,6,68573640.56,0.28,1
89018913,5,187774959.94,-0.3,1
17130144,3,144066125.4,-0.3,1
14545583,2,133730183.9,0.59,1
64079037,5,155091101.2,0.83,3
64474455,0,0.0,-0.42,3
51542436,1,566823.55,0.77,3
56626914,6,195465029.05,-0.25,2
63933927,4,103355188.01,-0.25,3
62453338,4,174130782.71,0.34,3
24881728,0,0.0,-0.61,2
44045666,7,147025076.63,0.61,3
22722094,6,57770926.71,0.64,3
32178434,3,176285970.13,0.73,2
56321408,7,35145322.88,0.99,3
22796932,3,188544840.67,0.96,3
84023414,0,0.0,-0.35,3
36063245,8,144296336.04,0.13,2
49443226,1,185985905.64,-0.41,3
83619289,7,196054399.8,0.88,1
17887739,4,17657638.69,-0.18,2
70736972,6,15710714.54,-0.27,2
71071026,6,21485764.8,0.22,2
10769598,4,85547544.31,0.27,3
99178975,4,74855909.89,0.5,3
59007334,7,156171987.0,-0.33,2
38433648,2,127152295.5,-0.5,1
17971379,0,0.0,-0.63,2
13331068,8,17657077.73,0.93,1
46810847,6,94497437.21,-0.02,2
44428803,4,108584786.59,-0.77,1
15654237,6,5651034.83,-0.52,2
71553124,1,5371418.63,-0.34,2
55816038,4,18312509.31,0.44,2
27750764,5,17487599.06,-0.22,3
46898446,0,0.0,0.7,2
33841962,8,82710558.63,0.26,3
76834972,2,125049773.41,0.19,2
53156515,6,161337335.26,0.04,2
32993420,1,105338141.31,-0.94,1
72190751,4,36167819.22,0.84,1
31970758,8,45992172.84,0.97,3
46513466,0,0.0,1.0,1
41288562,8,91312806.34,-0.9,1
31351509,0,0.0,0.2,3
33484187,1,132168922.98,-0.16,2
71777469,8,183738318.33,0.65,3
46093880,1,138934248.05,0.33,1
60441204,4,134712926.2,-0.64,3
91752859,4,127915096.57,-0.96,3
54066131,2,179928376.48,0.17,3
85415325,5,33817421.02,0.33,2
45563453,7,133020300.54,-0.58,2
44755914,0,0.0,0.73,1
60873983,4,152208105.06,0.1,2
63892568,7,192175401.68,-0.57,1
33637222,8,28522965.79,0.16,2
12484413,5,136386318.28,0.69,3
80016224,2,163653023.85,0.38,3
49449976,4,195178480.16,-0.09,3
99583549,7,188010293.15,0.32,2
12235000,5,126332696.14,-0.76,3
33685747,6,92239252.88,-0.03,3
47876684,7,35125838.34,0.29,1
82931048,1,85505350.89,-0.04,3
39859174,8,50858723.08,0.3,2
46102853,8,145066007.84,1.0,2
56159303,3,94055742.14,0.25,3
22195226,8,184999072.26,-0.62,3
57936136,0,0.0,0.52,3
79062973,4,154522601.6,0.45,2
24421668,4,124972010.16,-0.87,1
31200096,3,24912915.83,0.97,1
93375337,4,186265262.55,0.2,2
33234510,1,154183348.05,-0.96,2
61715898,6,102538149.07,-0.68,2
55968757,0,0.0,0.59,2
10061087,5,199977738.65,0.53,1
90705119,4,76947214.67,-0.12,2
76653416,0,0.0,-0.96,2
95382256,0,0.0,-0.8,2
20274621,6,72398018.29,-0.9,1
23022704,8,7997039.79,0.91,2
26816569,7,184946439.68,0.65,1
17654909,1,73059960.51,-0.74,2
47814054,8,25290489.04,-0.55,1
94302960,2,159675436.37,-0.07,3
25421040,5,83677537.28,-0.62,1
34210512,0,0.0,0.91,2
82073914,6,135110256.93,-0.5,2
77922032,6,170249549.62,-0.11,3
43779713,2,199616547.48,-0.77,3
21506305,2,153141170.36,0.33,3
30560091,6,168535387.75,-0.86,2
96881845,2,57204820.56,-0.04,1
17734102,3,84932562.52,0.61,1
15674719,7,181500410.93,0.71,3
18658144,7,113222435.37,0.98,1
50163712,5,87715759.22,-0.35,3
99386386,2,150224204.96,0.67,2
95447809,1,75480415.58,-0.8,1
98917675,7,22679390.47,0.69,1
54165849,8,130506962.7,-0.86,2
82586911,6,31681276.47,-0.62,2
78227907,5,175997696.31,0.49,3
88826934,3,155216272.52,-0.27,2
59905866,2,181227783.9,0.46,1
91121402,1,46772636.2,0.08,2
50657662,5,70312984.52,0.32,3
16659908,5,156563425.89,0.13,1
41378291,0,0.0,-1.0,1
73020641,1,118885289.25,0.78,3
46634821,4,40093635.48,0.76,3
29433354,4,65687589.24,0.39,3
26887294,1,129463630.23,-0.94,1
83422991,1,106701015.11,0.46,3
45562619,3,119159064.22,-0.43,3
45213498,3,31509867.97,-0.23,1
45703247,7,24197793.14,0.07,1
50910172,2,135869924.05,-0.22,1
72744322,8,118591451.97,-0.48,3
67805563,6,34313926.59,0.99,1
16404003,4,15559096.44,0.6,1
81244178,4,184470502.6,-0.19,3
61939266,0,0.0,0.96,3
43267858,7,194416681.3,-0.8,2
31114003,1,99752761.59,-0.34,1
96641503,0,0.0,0.69,3
20421958,6,3344339.1,0.72,2
87809459,2,30617559.63,-0.94,3
22984808,3,94611419.51,0.3,3
24764960,4,102658524.76,-0.14,2
60402943,7,169360430.46,-0.34,2
86241446,1,21198739.25,0.31,1
63777024,3,146903883.47,-0.39,2
93494666,6,125706877.21,0.17,3
80721464,3,109702085.83,-0.25,2
94711896,7,164732479.42,-0.29,3
89214742,1,145803448.62,0.05,1
53799966,2,127308629.28,-0.05,1
20047453,1,125770774.64,-0.03,3
45581225,3,38022215.23,-0.06,3
44109026,2,119177676.69,-0.8,2
52090758,4,26757349.38,-0.7,3
26037627,3,28687725.28,0.04,2
90337039,7,83203472.59,0.73,3
30281689,6,80974066.69,-0.97,1
67631343,0,0.0,0.59,1
81450611,7,137563372.19,0.01,2
56510960,4,60506697.41,0.37,3
42797855,2,169413480.13,-0.05,2
44795514,4,29458835.27,0.28,1
15184502,3,20202456.43,-0.08,2
33448674,7,150818714.11,0.18,2
65223954,2,162735540.62,-0.91,2
40948143,0,0.0,-0.26,2
22503247,8,162736826.03,0.74,1
64006163,6,57463748.67,0.24,1
61910807,4,186781260.85,-0.47,2
64847136,4,99333022.28,-0.28,2
83150359,1,88431741.81,-0.59,2
40831219,8,195662661.09,-0.31,2
33101383,3,107362955.14,0.53,1
27569187,8,36281997.58,0.16,3
64710375,6,15654362.96,0.74,3
64456147,7,153074756.0,0.32,1
88110973,4,22609607.74,0.68,2
49501026,5,98951038.18,-0.42,3
43163773,8,148143747.03,0.41,1
21310552,6,137096184.04,0.93,2
41146082,5,160108327.26,-0.95,1
31104792,2,31912720.17,0.97,1
31739356,6,193456729.4,0.31,3
21471761,4,58488174.36,0.53,1
29576703,6,38645661.82,-0.27,2
85092305,6,169782403.63,0.46,3
82429249,6,56571695.82,0.91,3
28877237,4,192275770.65,0.74,3
56918818,6,1073036.57,-0.62,1
33705256,6,1406080.66,0.34,3
94504547,6,146648273.62,0.93,3
87633091,4,89128815.0,0.14,2
89452960,1,133455461.59,-0.22,2
65403796,3,53841713.23,-0.13,2
33508102,4,119488015.44,0.27,2
19405634,0,0.0,0.3,3
15853584,4,141724036.44,-0.82,3
34947744,6,144530441.31,-0.72,2
58491183,8,194020736.1,-0.48,3
47856186,0,0.0,-0.05,1
58673237,6,118998686.99,0.27,1
75293686,7,58314460.48,0.27,2
11983509,4,177020376.37,0.26,2
28298917,5,70835047.01,-0.11,2
53563237,5,121949321.04,-0.63,1
87729132,3,21533750.41,-0.1,1
87275698,5,168355056.81,-0.03,1
83214389,6,145876131.24,-0.22,3
36365210,3,1058840.73,-0.58,2
68245345,5,9699113.1,-0.84,2
37180308,5,192196425.76,0.42,2
21326237,6,110671974.25,0.36,3
96343264,4,62670509.04,0.29,1
71864219,3,8288042.33,0.68,3
64434670,1,190948361.44,-0.03,1
97692768,1,178702416.82,0.32,1
43255876,4,40350622.79,-0.39,2
59114107,1,113248090.9,-0.81,2
25900476,5,188988226.2,-0.05,3
50820227,2,146193601.55,0.72,3
89688895,7,115412825.63,-0.98,2
97927856,0,0.0,-0.24,3
63059071,1,22082596.51,-0.63,3
99595920,5,196638973.33,0.94,3
22707035,7,199628646.67,-0.55,1
15130397,2,150369242.71,0.42,2
80560220,2,20288578.26,-0.68,3
46998516,5,44344797.77,-0.52,1
46481541,5,130358319.95,0.3,2
76385640,5,140935608.14,-0.94,2
76880548,2,91471753.32,0.89,1
88384476,5,41933089.13,-0.43,3
52058334,2,90965834.96,-0.22,1
59742523,5,91462813.47,0.37,3
49769056,2,72356454.89,0.55,2
65174259,1,47131901.59,0.47,2
66688830,3,79371272.33,-0.41,3
53369428,8,142263943.42,-0.04,3
24650271,0,0.0,0.9,2
41725526,0,0.0,-0.58,2
89348896,4,61887999.27,-0.98,2
28992383,2,144601528.0,-0.27,3
80995266,4,106872456.26,0.48,3
66877183,7,16160890.19,-0.46,1
94574185,3,169637296.33,-0.76,3
11989173,0,0.0,0.78,3
46635193,1,99864752.84,0.1,1
42474983,5,3249176.7,0.04,1
43999533,7,23378952.78,0.55,1
24716695,6,2990489.4,0.55,3
73967150,8,118357128.45,-0.3,3
73981206,5,191343634.82,-0.94,1
74785345,0,0.0,0.88,3
27882750,5,182434895.47,-0.43,1
88725274,0,0.0,0.06,2
70303849,7,58084281.21,0.59,3
20192257,2,61064014.28,0.63,3
53167705,2,35791698.82,0.94,1
31130343,0,0.0,0.75,1
50869792,4,11813573.16,0.46,1
59913224,6,1570218.73,-0.72,2
74356138,6,13223693.33,-0.59,1
77607727,7,104876915.22,-0.44,2
63007836,1,104089277.57,-0.25,1
75541801,4,105409579.24,0.41,3
68114585,2,112568955.3,-0.65,1
36658609,4,19157375.08,-0.71,3
86294551,6,198462895.81,0.41,1
40024204,2,30135764.94,0.07,2
92008891,6,57398549.46,-0.55,1
58715257,6,16928851.49,0.34,2
32268806,5,39874254.45,-0.43,2
16512440,0,0.0,-0.24,2
22431395,7,57630644.29,-0.03,1
83208492,2,135280462.09,-0.08,2
39093907,3,40798525.18,-0.73,3
46253447,1,104103725.54,-0.05,1
72134783,6,11460779.11,0.94,3
72460303,5,146869248.95,-0.04,2
93831437,3,70791486.84,0.35,2
74447435,0,0.0,0.13,2
59895282,5,97074006.09,0.83,1
12503771,3,70622871.91,-0.91,3
80286689,0,0.0,-0.86,1
10996161,0,0.0,-0.01,1
14183839,0,0.0,-0.09,2
77775190,0,0.0,-0.66,2
77758014,0,0.0,-0.6,3
30153173,5,17125347.32,-0.96,3
77227698,6,27023288.54,0.9,3
58939582,8,4903569.36,-0.67,1
66224957,1,54280719.31,0.87,1
32725756,7,41315437.17,0.51,2
81531065,5,180532634.11,-0.24,1
11079600,1,43283258.38,0.49,2
36191539,2,162193769.2,0.1,3
42576169,1,133110298.03,0.27,1
53381573,6,1516279.06,0.99,1
80612021,6,84612886.28,0.54,1
35050090,2,15791123.82,-0.31,1
18849851,3,172376147.2,0.02,2
70779108,4,193741915.04,-0.21,3
76009351,7,199838183.62,0.95,1
95871668,4,96059585.59,0.54,2
94890726,0,0.0,-0.09,1
97753580,4,32004246.31,0.71,1
39549535,7,66731504.69,-0.39,1
10449395,0,0.0,0.9,1
31921117,7,122828412.63,-0.83,3
50308782,7,125446032.22,0.28,1
61592034,5,190124630.3,0.65,1
63386038,1,198999299.73,0.72,2
67351079,8,29990278.36,-0.7,2
41530803,6,125957007.07,0.67,2
43266319,4,13453350.44,0.51,1
40503180,4,96654338.82,-0.13,1
13379569,0,0.0,-0.63,2
80009467,6,10934668.04,-0.59,1
54910237,1,97267634.49,-0.11,1
52165906,2,110021491.43,-0.03,2
69855504,3,139044121.9,-0.54,2
99473854,4,1706984.6,0.24,2
16319707,4,27741400.4,0.88,1
78532150,1,119922606.49,0.14,1
13695961,4,40689179.92,-0.39,1
88911293,8,42787457.65,-0.91,2
46396424,7,44644083.2,-0.87,2
14294539,2,47455542.31,-0.64,1
21609076,6,30624922.84,0.9,1
83204793,6,61334165.21,0.09,1
48498937,0,0.0,0.75,2
10803328,2,125537448.86,-0.6,3
30840174,2,66363776.4,-0.94,2
11043233,4,187378267.38,-0.22,1
87209213,6,85811849.2,0.98,3
10529525,7,40113504.43,0.28,1
26953831,7,65565669.6,-0.55,3
66996736,7,27924970.49,0.98,3
84583311,0,0.0,0.43,2
81709884,0,0.0,0.39,1
92235366,8,134184268.27,-0.49,2
13699391,0,0.0,-0.57,1
87183765,7,177886420.44,-0.72,3
58487260,3,18206468.16,0.76,2
67338102,3,190086096.75,0.46,3
80721474,6,75094542.52,-0.27,2
25192217,2,52772038.0,0.04,1
62496015,3,150159632.51,0.4,2
20292658,6,10280713.01,0.08,1
43698788,6,116828334.14,0.84,1
71819576,6,6971404.55,0.44,1
73362116,8,80175259.41,0.57,2
11748014,2,45083018.31,0.65,3
50711152,5,199329828.05,-0.5,1
60296557,0,0.0,-0.55,3
56216125,3,137326481.91,0.26,2
79397491,4,19475953.97,0.86,1
91949124,6,180173062.63,0.49,2
33295179,5,84464862.17,-0.55,2
83706383,1,193724745.94,-0.02,1
27541337,7,4462901.2,-0.59,2
67399769,3,20344197.42,0.06,1
30279846,5,195475943.34,-0.02,2
20970723,2,125852603.47,-0.88,1
82807712,4,36730676.04,-0.62,1
82193785,6,97994894.11,-0.8,2
60018037,0,0.0,-0.18,1
53351876,3,125733905.84,0.03,2
60166883,8,193024925.25,0.31,1
70361505,8,196418596.97,-0.19,3
56787763,5,44454769.12,0.43,3
75732489,8,152273785.42,-0.3,2
13693305,6,44778161.27,0.72,2
23470137,1,96881135.04,-0.84,2
14466271,2,125058689.75,0.27,3
64717184,2,7389674.69,-0.04,3
44907127,7,192618282.51,0.45,3
20495300,7,112601414.33,0.03,2
38709379,7,84393340.06,0.27,3
44654999,7,36245412.02,0.32,2
37451727,3,72486369.1,-0.45,1
84815222,7,77793666.99,0.82,2
38997889,3,142785851.71,-0.81,3
58978079,0,0.0,0.9,1
21726298,7,87662770.71,0.3,2
94607827,0,0.0,0.88,2
65723671,5,152809386.41,-0.6,1
99843595,3,128760141.97,0.79,3
66564401,7,90728249.21,0.95,1
56673570,6,186395617.99,0.34,3
88547323,2,149701621.94,0.6,2
25033888,5,117299110.12,0.44,2
99132960,4,145244174.07,-0.01,1
71704882,7,45471705.41,-0.17,1
44958762,0,0.0,0.19,2
27028708,1,41302994.22,0.2,3
14035851,0,0.0,-0.77,1
57685442,2,192465707.69,-0.91,2
44045504,8,105042229.73,-0.21,1
92396202,1,105267995.03,-0.59,2
45610155,8,134603947.78,-0.44,1
39469068,3,83061956.68,0.7,1
40185054,0,0.0,-0.62,3
19702701,6,47988464.59,0.85,1
88262145,7,171870400.72,-0.37,1
43127676,3,130350055.12,-0.14,1
12976242,6,56022542.79,-0.8,3
47317456,7,101856279.02,0.67,1
37812615,4,27650557.84,0.19,3
54653148,7,113864498.41,-0.35,1
14833177,0,0.0,-0.43,3
18454561,7,13328567.1,0.01,1
55932658,7,10029049.15,1.0,2
12597480,7,60034988.82,0.89,1
33151417,0,0.0,0.85,3
49673332,2,183266959.23,-0.27,1
29699313,7,167744560.22,-0.28,1
26934380,4,48411775.63,0.41,3
20617244,4,69746386.45,-0.67,3
44086263,6,161930393.47,0.24,2
80098339,6,76355457.97,0.45,2
60234072,3,22880983.54,-0.11,2
13369720,3,73411645.75,0.5,1
81819939,3,28321704.2,-0.84,1
83963364,5,25360885.04,-0.85,3
12640328,0,0.0,-0.66,3
35856919,1,189257894.1,-0.89,3
67658082,5,139356269.29,-0.08,3
65395426,3,130131245.3,-0.11,2
37348975,5,100322835.47,0.08,3
21552291,7,194998382.06,-0.02,2
10070640,2,175440587.01,-0.38,1
87498463,3,138552454.43,0.5,3
72976036,2,107396540.32,-0.4,3
95241611,0,0.0,-0.94,3
13741196,1,64754584.36,-0.82,2
29511512,6,188173196.11,-0.34,3
93692386,6,88447680.77,0.53,2
50260456,1,47678597.71,0.59,3
21720477,1,89241397.84,-0.2,1
23217648,3,33984946.93,0.79,2
32558781,1,160912866.48,-0.62,2
69946863,3,91132492.78,0.33,2
72784216,6,102313535.63,-0.39,3
42425301,3,108320139.39,-0.45,2
80373772,3,142654159.9,-0.76,1
98146618,1,35160520.53,-0.87,2
36778642,0,0.0,0.08,2
70995760,6,136790970.89,-0.14,1
56547339,7,29813235.64,-0.7,2
24573458,3,138520270.02,0.5,2
57911176,1,91099750.36,-0.82,3
39264326,5,138987131.81,0.85,1
92896667,5,112456379.22,-0.03,1
63953229,4,189163377.43,-0.38,1
98132318,7,189976055.48,-0.21,2
66294783,8,112956450.21,0.35,3
69145779,8,172894844.62,-0.12,1
56977874,1,198715388.33,-0.67,1
39365614,3,26380470.45,-0.06,1
99268367,1,145050187.73,-0.48,1
57010676,5,86860198.46,0.24,1
61371106,1,158689723.67,-0.33,2
47327243,1,127695831.82,-0.87,1
79426200,6,63257007.9,-0.5,1
79872506,6,46588241.68,0.8,2
20198499,1,120746667.93,0.67,3
47342772,5,56376068.31,-0.87,1
54362902,2,121611741.74,0.85,3
10197775,7,46476822.02,-0.45,3
45940920,2,28094839.65,0.55,1
94673574,2,79954155.89,-0.4,3
33614649,0,0.0,-0.33,3
88507230,5,59364622.96,0.95,1
27310852,1,176922434.97,-0.14,3
88535842,3,46651417.45,0.85,3
64564054,6,115097743.95,-0.8,3
72989020,3,187648050.96,0.68,3
40773482,7,17964415.63,-0.4,3
88733130,6,56334014.66,-0.51,1
87273675,3,68991037.09,0.66,3
12276360,4,172341642.71,0.44,3
59437769,8,21864970.95,-0.44,2
41665404,5,156642307.58,-0.39,3
95218477,1,33015388.87,0.39,3
67849484,5,68384565.04,0.18,2
26434343,2,156721871.98,0.31,2
54079273,8,145236102.97,-0.58,2
50201137,1,30711908.79,-0.53,2
82571674,4,123728837.68,0.75,2
90497273,8,53299485.41,-0.36,2
90954884,3,73474626.78,-0.27,3
67235484,8,193771597.77,0.91,1
72182821,6,112406803.88,0.33,2
86835154,7,161865421.77,-0.3,1
90768647,1,61762377.04,-0.86,3
93273068,2,99053825.22,-0.06,2
33020885,2,141350710.55,-0.72,2
11286643,2,97012703.96,-0.65,2
87031056,5,156481224.88,0.01,3
51869822,3,55138648.9,-0.49,1
16200646,2,8330363.75,0.61,3
84092760,5,127439540.44,-0.62,2
24509187,0,0.0,-0.1,3
37780899,3,180882813.97,0.06,2
15409861,2,16035659.36,0.82,2
98825083,0,0.0,-0.97,2
65478034,5,99707358.51,-0.96,1
22831595,6,103992654.33,-0.33,1
85524262,1,133072818.62,-0.43,1
87189210,0,0.0,-0.11,1
10448345,7,157759412.2,0.97,2
86246546,1,102676217.88,-0.53,3
84936358,6,137288989.03,-0.05,3
25814828,6,105683301.33,-0.86,1
58763532,7,54906929.16,0.28,2
48538877,1,78002574.1,0.74,3
83851335,6,155659458.34,0.8,3
54196734,7,37700274.51,-0.34,3
99630668,0,0.0,0.22,3
90558427,5,98548917.62,0.64,1
48503931,4,28780378.62,-0.01,3
29164528,8,46481715.69,-0.08,2
97580056,2,25439839.39,0.14,1
30812709,7,155835728.78,-0.58,1
99589817,0,0.0,0.98,2
62203051,5,49750839.64,-0.88,3
49301804,8,192819490.47,-0.27,1
14848287,2,170732269.52,0.7,3
61152700,0,0.0,-0.28,1
53750190,5,76035657.3,-0.94,2
79334164,0,0.0,-0.53,1
62187215,2,125818606.37,0.09,1
88998740,4,164060236.03,0.73,1
65257851,5,36919277.59,0.88,3
58518372,5,42207451.49,-0.41,3
22842659,3,139521392.36,-0.89,3
43978002,4,127897630.28,0.26,3
12373139,5,56418900.11,-0.58,1
65553464,8,160382821.56,0.31,3
52801198,2,47496086.92,0.78,1
28892008,7,75533565.25,0.35,1
45427853,0,0.0,0.58,1
66882318,8,16597458.19,0.97,2
83190814,1,77753977.59,0.82,1
20986868,3,142583233.53,0.74,2
50480309,7,1138830.18,0.18,3
49521538,5,153684893.43,0.03,3
88815702,8,26845059.29,0.56,1
70972984,0,0.0,0.19,3
48673354,8,161976719.53,0.01,1
65454431,2,183717400.48,-0.69,1
75557447,0,0.0,-0.16,2
93845477,1,3434677.74,0.79,2
87982667,7,139679642.6,-0.32,2
65860631,2,69118333.0,-0.86,3
67681017,8,96063634.17,0.86,3
12667867,0,0.0,0.81,1
66987271,4,34744770.59,-0.0,2
51241273,2,16541745.7,0.24,2
55718843,8,125223929.87,-0.48,3
78452891,2,164550998.77,-0.22,1
75432283,6,39871940.52,0.0,2
81275364,2,63914063.3,-0.41,2
34244264,6,148768284.08,0.49,1
52734307,5,75428744.02,-0.63,2
84993343,1,136666256.79,0.23,2
77606426,5,103102612.94,0.06,1
55791733,0,0.0,0.6,3
14578238,1,46992274.47,0.19,2
30814992,5,193859866.48,0.46,1
31288948,4,16805373.22,-0.73,3
15562067,2,181418574.28,-0.62,2
48791628,7,1696625.31,-0.85,2
37345820,2,17623433.18,-0.22,2
45154828,6,18005440.79,0.67,3
30088365,5,190684318.19,-0.21,3
68842658,2,141106660.8,-0.37,1
53109628,1,137355282.5,0.39,3
23021573,5,172372456.12,-0.18,3
62827729,1,37893146.01,-0.89,1
54620658,1,83643632.13,-0.08,2
39933823,2,161464231.42,0.26,3
90155332,5,122045878.57,0.83,2
94461358,1,99052513.97,-0.06,3
65519128,0,0.0,-0.66,3
61509697,4,76890793.45,0.76,3
96966281,6,39298743.11,0.94,3
17136029,7,2651693.57,0.24,1
97350522,6,21330004.53,-0.69,1
69994988,3,46581126.49,0.37,3
46869124,3,142573517.3,0.55,2
31496823,0,0.0,0.18,2
16285088,1,198442320.49,-0.15,2
59907857,3,70186278.77,-0.32,3
89569119,0,0.0,0.76,1
81021806,3,94330532.23,-0.14,3
17468810,1,81232612.61,-0.76,3
11635156,4,38790794.02,-0.34,1
35301054,8,105291945.73,-0.3,1
87264088,1,176788035.29,0.36,1
15001045,8,152558975.12,-0.67,3
81572282,8,20941870.25,0.36,1
38267184,5,73330922.03,0.24,3
14345760,0,0.0,0.02,2
33930984,5,24528902.74,-0.38,1
46805730,4,65532223.81,0.41,2
48019582,5,184996925.2,0.63,3
68720660,0,0.0,0.03,2
65229238,0,0.0,0.65,3
28100699,4,70865501.27,0.97,3
11722320,2,167702547.29,-0.49,2
23298372,1,159958582.61,-0.86,3
39702914,0,0.0,0.4,3
91550308,3,187399762.07,-0.54,1
41657524,6,60451817.46,0.92,1
41206052,2,20198912.9,-0.97,2
40413513,3,147373024.14,0.75,3
35329097,7,52911616.43,-0.4,2
22243026,6,114017494.87,0.94,2
66024141,7,179555724.78,0.31,2
85356616,6,98057417.27,0.59,2
27864557,8,41709650.23,-0.65,1
16195200,0,0.0,0.84,3
81086130,4,117008942.72,0.27,1
63363404,1,130201972.38,0.14,2
94729603,3,75573415.93,-0.3,1
52489277,3,2471047.55,-0.17,3
23832640,2,81099518.62,0.67,1
76360176,4,136555734.14,-0.15,3
40061031,0,0.0,-0.91,2
77201057,6,67506299.51,-0.76,2
71902171,0,0.0,0.43,1
90197726,2,72693108.84,-0.07,2
95072967,0,0.0,-0.27,2
75812633,0,0.0,0.36,2
97220897,5,150150167.19,0.63,1
42043445,2,62401931.16,0.83,3
91052418,8,17124702.12,0.81,3
96601594,0,0.0,-0.52,1
46213003,0,0.0,-0.25,3
26689088,3,30259031.01,-0.27,2
98720437,0,0.0,0.89,2
17102173,0,0.0,0.42,2
55388538,1,35228466.68,-0.92,2
48720111,8,26821781.0,-0.57,3
58515838,2,172751531.63,-0.45,1
71356950,2,188037714.3,0.97,3
32064334,6,58719268.19,-0.06,3
24681316,4,35677855.1,0.35,1
71681549,1,185085849.85,0.49,1
81209537,6,172504603.63,0.19,2
58840101,2,8664947.02,-0.87,1
72468859,6,43175980.44,0.34,1
60305761,6,61899290.05,-0.22,1
39367077,5,5984525.26,-0.65,2
71580593,2,198070770.06,-0.28,1
60011985,0,0.0,-0.93,1
84062621,2,165613527.1,0.76,2
42843745,2,115355441.0,-0.84,2
29350835,7,14022985.18,-0.2,3
79562616,3,47592522.73,0.64,2
70084389,7,182572357.73,0.38,3
67597408,2,111045025.22,0.27,2
