Nit,Numero_Tx,Frecuencia_tx_mensual,Ultima_tx_dias
12235000,4,0.67,155
33685747,27,4.5,153
47876684,0,0.0,62
82931048,0,0.0,45
39859174,0,0.0,176
46102853,0,0.0,112
56159303,26,4.33,26
22195226,3,0.5,144
57936136,0,0.0,134
79062973,0,0.0,162
24421668,0,0.0,60
31200096,0,0.0,111
93375337,0,0.0,123
33234510,0,0.0,112
61715898,0,0.0,179
55968757,0,0.0,105
10061087,10,1.67,116
90705119,0,0.0,92
76653416,0,0.0,178
95382256,0,0.0,92
20274621,11,1.83,130
23022704,0,0.0,33
26816569,3,0.5,89
17654909,0,0.0,82
47814054,0,0.0,138
94302960,0,0.0,62
25421040,0,0.0,43
34210512,0,0.0,78
82073914,0,0.0,124
77922032,0,0.0,109
43779713,0,0.0,171
21506305,3,0.5,26
30560091,12,2.0,140
96881845,28,4.67,27
17734102,0,0.0,157
15674719,0,0.0,129
18658144,24,4.0,169
50163712,0,0.0,19
99386386,36,6.0,43
95447809,0,0.0,154
98917675,0,0.0,128
54165849,0,0.0,145
82586911,0,0.0,7
78227907,28,4.67,154
88826934,32,5.33,37
59905866,0,0.0,9
91121402,0,0.0,42
50657662,0,0.0,60
16659908,0,0.0,105
41378291,0,0.0,111
73020641,4,0.67,132
46634821,0,0.0,108
29433354,0,0.0,2
26887294,0,0.0,56
83422991,0,0.0,48
45562619,33,5.5,5
45213498,0,0.0,163
45703247,0,0.0,44
50910172,0,0.0,166
72744322,0,0.0,64
67805563,0,0.0,10
16404003,23,3.83,120
81244178,0,0.0,17
61939266,0,0.0,145
43267858,2,0.33,16
31114003,17,2.83,135
96641503,34,5.67,54
20421958,0,0.0,70
87809459,0,0.0,42
22984808,0,0.0,87
24764960,0,0.0,168
60402943,0,0.0,94
86241446,0,0.0,145
63777024,0,0.0,148
93494666,22,3.67,9
80721464,19,3.17,15
94711896,0,0.0,121
89214742,7,1.17,31
53799966,0,0.0,157
20047453,0,0.0,157
45581225,40,6.67,134
44109026,0,0.0,54
52090758,0,0.0,6
26037627,34,5.67,126
90337039,0,0.0,156
30281689,0,0.0,23
67631343,0,0.0,73
81450611,0,0.0,27
56510960,10,1.67,160
42797855,16,2.67,133
44795514,19,3.17,80
15184502,0,0.0,87
33448674,0,0.0,163
65223954,39,6.5,164
40948143,0,0.0,24
22503247,0,0.0,137
64006163,0,0.0,121
61910807,0,0.0,161
64847136,0,0.0,165
83150359,0,0.0,115
40831219,8,1.33,29
33101383,0,0.0,134
27569187,0,0.0,153
64710375,23,3.83,119
64456147,0,0.0,113
88110973,0,0.0,147
49501026,0,0.0,92
43163773,0,0.0,141
21310552,0,0.0,13
41146082,0,0.0,63
31104792,2,0.33,109
31739356,38,6.33,49
21471761,16,2.67,99
29576703,0,0.0,55
85092305,0,0.0,94
82429249,0,0.0,146
28877237,0,0.0,57
56918818,0,0.0,94
33705256,0,0.0,175
94504547,0,0.0,99
87633091,0,0.0,108
89452960,0,0.0,46
65403796,0,0.0,65
33508102,0,0.0,22
19405634,0,0.0,131
15853584,0,0.0,38
34947744,0,0.0,77
58491183,37,6.17,100
47856186,8,1.33,72
58673237,0,0.0,53
75293686,0,0.0,26
11983509,0,0.0,94
28298917,0,0.0,152
53563237,5,0.83,171
87729132,0,0.0,93
87275698,0,0.0,143
83214389,0,0.0,129
36365210,0,0.0,56
68245345,0,0.0,160
37180308,0,0.0,153
21326237,36,6.0,52
96343264,25,4.17,155
71864219,11,1.83,158
64434670,0,0.0,62
97692768,14,2.33,128
43255876,0,0.0,76
59114107,0,0.0,145
25900476,5,0.83,156
50820227,0,0.0,12
89688895,0,0.0,97
97927856,0,0.0,96
63059071,0,0.0,129
99595920,18,3.0,111
22707035,24,4.0,29
15130397,0,0.0,103
80560220,0,0.0,32
46998516,30,5.0,54
46481541,5,0.83,140
76385640,3,0.5,162
76880548,18,3.0,3
88384476,38,6.33,126
52058334,39,6.5,171
59742523,0,0.0,58
49769056,0,0.0,108
65174259,0,0.0,174
66688830,0,0.0,172
53369428,17,2.83,93
24650271,29,4.83,74
41725526,25,4.17,85
89348896,0,0.0,5
28992383,7,1.17,178
80995266,0,0.0,30
66877183,0,0.0,65
94574185,0,0.0,71
11989173,0,0.0,111
46635193,2,0.33,72
42474983,0,0.0,14
43999533,12,2.0,153
24716695,0,0.0,13
73967150,7,1.17,44
73981206,0,0.0,29
74785345,0,0.0,164
27882750,0,0.0,53
88725274,0,0.0,120
70303849,0,0.0,104
20192257,6,1.0,159
53167705,0,0.0,36
31130343,0,0.0,28
50869792,0,0.0,44
59913224,0,0.0,14
74356138,38,6.33,62
77607727,0,0.0,105
63007836,0,0.0,110
75541801,21,3.5,82
68114585,0,0.0,46
36658609,0,0.0,48
86294551,4,0.67,174
40024204,0,0.0,62
92008891,0,0.0,90
58715257,0,0.0,58
32268806,0,0.0,5
16512440,23,3.83,21
22431395,0,0.0,117
83208492,16,2.67,165
39093907,13,2.17,57
46253447,0,0.0,81
72134783,0,0.0,128
72460303,0,0.0,40
93831437,0,0.0,176
74447435,0,0.0,77
59895282,0,0.0,26
12503771,0,0.0,113
80286689,0,0.0,98
10996161,32,5.33,46
14183839,0,0.0,75
77775190,0,0.0,41
77758014,22,3.67,138
30153173,4,0.67,44
77227698,0,0.0,8
58939582,21,3.5,34
66224957,0,0.0,30
32725756,0,0.0,129
81531065,0,0.0,2
11079600,0,0.0,128
36191539,0,0.0,95
42576169,0,0.0,13
53381573,0,0.0,163
80612021,10,1.67,163
35050090,0,0.0,41
18849851,32,5.33,11
70779108,0,0.0,121
76009351,0,0.0,56
95871668,8,1.33,135
94890726,22,3.67,22
97753580,0,0.0,162
39549535,0,0.0,123
10449395,17,2.83,156
31921117,0,0.0,84
50308782,4,0.67,117
61592034,0,0.0,146
63386038,0,0.0,145
67351079,0,0.0,54
41530803,0,0.0,12
43266319,2,0.33,1
40503180,0,0.0,129
13379569,0,0.0,24
80009467,0,0.0,5
54910237,33,5.5,85
52165906,0,0.0,128
69855504,0,0.0,61
99473854,0,0.0,10
16319707,0,0.0,88
78532150,0,0.0,115
13695961,29,4.83,70
88911293,0,0.0,60
46396424,0,0.0,104
14294539,0,0.0,166
21609076,24,4.0,124
83204793,17,2.83,135
48498937,0,0.0,157
10803328,0,0.0,162
30840174,20,3.33,45
11043233,0,0.0,101
87209213,0,0.0,110
10529525,26,4.33,152
26953831,22,3.67,134
66996736,0,0.0,13
84583311,0,0.0,167
81709884,0,0.0,74
92235366,29,4.83,62
13699391,0,0.0,96
87183765,0,0.0,145
58487260,30,5.0,144
67338102,0,0.0,172
80721474,0,0.0,19
25192217,0,0.0,155
62496015,0,0.0,64
20292658,0,0.0,25
43698788,0,0.0,36
71819576,22,3.67,91
73362116,12,2.0,166
11748014,0,0.0,101
50711152,0,0.0,51
60296557,0,0.0,131
56216125,0,0.0,76
79397491,24,4.0,144
91949124,29,4.83,9
33295179,6,1.0,126
83706383,0,0.0,170
27541337,0,0.0,114
67399769,0,0.0,34
30279846,0,0.0,18
20970723,29,4.83,81
82807712,0,0.0,151
82193785,0,0.0,98
60018037,0,0.0,168
53351876,0,0.0,107
60166883,38,6.33,72
70361505,0,0.0,102
56787763,0,0.0,153
75732489,36,6.0,72
13693305,0,0.0,101
23470137,0,0.0,78
14466271,0,0.0,60
64717184,0,0.0,39
44907127,0,0.0,93
20495300,0,0.0,53
38709379,0,0.0,95
44654999,0,0.0,77
37451727,23,3.83,12
84815222,0,0.0,7
38997889,0,0.0,20
58978079,17,2.83,28
21726298,0,0.0,56
94607827,0,0.0,70
65723671,0,0.0,21
99843595,0,0.0,169
66564401,0,0.0,97
56673570,6,1.0,75
88547323,0,0.0,10
25033888,4,0.67,31
99132960,4,0.67,12
71704882,23,3.83,106
44958762,0,0.0,18
27028708,40,6.67,17
14035851,0,0.0,94
57685442,7,1.17,26
44045504,0,0.0,156
92396202,0,0.0,160
45610155,0,0.0,120
39469068,0,0.0,8
40185054,0,0.0,167
19702701,0,0.0,174
88262145,0,0.0,90
43127676,0,0.0,135
12976242,9,1.5,35
47317456,0,0.0,46
37812615,13,2.17,82
54653148,0,0.0,16
14833177,6,1.0,108
18454561,0,0.0,5
55932658,0,0.0,145
12597480,17,2.83,117
33151417,20,3.33,37
49673332,0,0.0,22
29699313,0,0.0,96
26934380,0,0.0,58
20617244,0,0.0,43
44086263,16,2.67,139
80098339,3,0.5,9
60234072,0,0.0,132
13369720,27,4.5,144
81819939,12,2.0,37
83963364,0,0.0,50
12640328,0,0.0,160
35856919,0,0.0,43
67658082,0,0.0,179
65395426,0,0.0,179
37348975,0,0.0,134
21552291,0,0.0,163
10070640,0,0.0,98
87498463,0,0.0,84
72976036,0,0.0,41
95241611,34,5.67,90
13741196,0,0.0,45
29511512,0,0.0,132
93692386,15,2.5,111
50260456,18,3.0,123
21720477,0,0.0,53
23217648,0,0.0,9
32558781,4,0.67,57
69946863,30,5.0,126
72784216,0,0.0,39
42425301,0,0.0,0
80373772,0,0.0,35
98146618,31,5.17,133
36778642,0,0.0,28
70995760,0,0.0,103
56547339,0,0.0,94
24573458,3,0.5,141
57911176,0,0.0,85
39264326,0,0.0,71
92896667,0,0.0,58
63953229,0,0.0,7
98132318,0,0.0,14
66294783,35,5.83,148
69145779,6,1.0,133
56977874,13,2.17,9
39365614,0,0.0,136
99268367,0,0.0,132
57010676,25,4.17,138
61371106,0,0.0,80
47327243,0,0.0,75
79426200,16,2.67,33
79872506,0,0.0,151
20198499,9,1.5,149
47342772,0,0.0,122
54362902,0,0.0,111
10197775,0,0.0,169
45940920,0,0.0,167
94673574,31,5.17,161
33614649,20,3.33,85
88507230,26,4.33,23
27310852,0,0.0,112
88535842,0,0.0,15
64564054,0,0.0,4
72989020,0,0.0,105
40773482,10,1.67,74
88733130,0,0.0,66
87273675,0,0.0,79
12276360,31,5.17,145
59437769,0,0.0,87
41665404,4,0.67,141
95218477,15,2.5,42
67849484,0,0.0,54
26434343,38,6.33,90
54079273,0,0.0,71
50201137,0,0.0,39
82571674,0,0.0,179
90497273,0,0.0,57
90954884,0,0.0,135
67235484,0,0.0,65
72182821,0,0.0,152
86835154,0,0.0,27
90768647,0,0.0,147
93273068,0,0.0,68
33020885,0,0.0,146
11286643,0,0.0,97
87031056,27,4.5,150
51869822,36,6.0,58
16200646,0,0.0,157
84092760,0,0.0,179
24509187,6,1.0,98
37780899,0,0.0,90
15409861,0,0.0,44
98825083,11,1.83,63
65478034,0,0.0,132
22831595,0,0.0,112
85524262,0,0.0,175
87189210,0,0.0,64
10448345,0,0.0,160
86246546,19,3.17,148
84936358,0,0.0,72
25814828,6,1.0,116
58763532,15,2.5,30
48538877,0,0.0,160
83851335,0,0.0,19
54196734,0,0.0,91
99630668,35,5.83,37
90558427,14,2.33,168
48503931,0,0.0,63
29164528,0,0.0,32
97580056,0,0.0,0
30812709,0,0.0,160
99589817,0,0.0,116
62203051,1,0.17,84
49301804,0,0.0,78
14848287,0,0.0,97
61152700,3,0.5,90
53750190,10,1.67,18
79334164,0,0.0,77
62187215,0,0.0,52
88998740,0,0.0,111
65257851,10,1.67,120
58518372,0,0.0,65
22842659,40,6.67,54
43978002,0,0.0,84
12373139,39,6.5,9
65553464,17,2.83,144
52801198,19,3.17,55
28892008,0,0.0,52
45427853,0,0.0,170
66882318,0,0.0,99
83190814,0,0.0,129
20986868,19,3.17,45
50480309,0,0.0,23
49521538,0,0.0,5
88815702,0,0.0,89
70972984,0,0.0,154
48673354,0,0.0,24
65454431,3,0.5,13
75557447,0,0.0,166
93845477,0,0.0,63
87982667,0,0.0,81
65860631,0,0.0,131
67681017,0,0.0,80
12667867,0,0.0,104
66987271,7,1.17,140
51241273,38,6.33,28
55718843,20,3.33,73
78452891,0,0.0,55
75432283,0,0.0,20
81275364,0,0.0,36
34244264,0,0.0,85
52734307,1,0.17,109
84993343,0,0.0,68
77606426,0,0.0,31
55791733,0,0.0,115
14578238,10,1.67,69
30814992,0,0.0,62
31288948,35,5.83,99
15562067,29,4.83,28
48791628,0,0.0,59
37345820,0,0.0,75
45154828,0,0.0,64
30088365,23,3.83,145
68842658,0,0.0,125
53109628,12,2.0,18
23021573,0,0.0,24
62827729,34,5.67,105
54620658,0,0.0,0
39933823,0,0.0,130
90155332,0,0.0,146
94461358,11,1.83,11
65519128,0,0.0,8
61509697,0,0.0,9
96966281,0,0.0,5
17136029,14,2.33,177
97350522,0,0.0,60
69994988,0,0.0,133
46869124,10,1.67,76
31496823,0,0.0,90
16285088,0,0.0,85
59907857,15,2.5,144
89569119,0,0.0,58
81021806,12,2.0,35
17468810,0,0.0,58
11635156,11,1.83,73
35301054,0,0.0,176
87264088,0,0.0,157
15001045,0,0.0,129
81572282,0,0.0,40
38267184,0,0.0,35
14345760,0,0.0,89
33930984,0,0.0,96
46805730,0,0.0,25
48019582,0,0.0,118
68720660,0,0.0,70
65229238,0,0.0,3
28100699,0,0.0,102
11722320,22,3.67,95
23298372,0,0.0,119
39702914,0,0.0,17
91550308,0,0.0,1
41657524,0,0.0,10
41206052,0,0.0,39
40413513,20,3.33,172
35329097,0,0.0,54
22243026,0,0.0,55
66024141,10,1.67,164
85356616,0,0.0,77
27864557,0,0.0,113
16195200,35,5.83,30
81086130,0,0.0,1
63363404,0,0.0,66
94729603,0,0.0,85
52489277,0,0.0,99
23832640,0,0.0,155
76360176,0,0.0,65
40061031,0,0.0,163
77201057,29,4.83,148
71902171,0,0.0,110
90197726,0,0.0,133
95072967,0,0.0,82
75812633,0,0.0,171
97220897,0,0.0,139
42043445,0,0.0,129
91052418,0,0.0,116
96601594,0,0.0,3
46213003,11,1.83,99
26689088,0,0.0,135
98720437,0,0.0,107
17102173,0,0.0,102
55388538,0,0.0,137
48720111,18,3.0,50
58515838,0,0.0,6
71356950,0,0.0,170
32064334,0,0.0,4
24681316,8,1.33,63
71681549,0,0.0,50
81209537,31,5.17,6
58840101,0,0.0,148
72468859,12,2.0,140
60305761,0,0.0,145
39367077,0,0.0,170
71580593,35,5.83,14
60011985,0,0.0,48
84062621,1,0.17,21
42843745,30,5.0,84
29350835,0,0.0,154
79562616,0,0.0,121
70084389,0,0.0,108
67597408,15,2.5,170
20320855,0,0.0,92
28130254,0,0.0,81
81766557,18,3.0,119
89945266,29,4.83,2
53558992,0,0.0,15
61628164,0,0.0,90
75377052,0,0.0,128
97349431,0,0.0,47
91251088,0,0.0,71
45409403,0,0.0,177
26045907,27,4.5,25
72754884,0,0.0,174
58458273,0,0.0,116
25734209,0,0.0,35
79800140,27,4.5,66
46081386,0,0.0,150
83658410,11,1.83,80
67395058,0,0.0,106
35827438,0,0.0,159
26663288,6,1.0,9
23081782,4,0.67,37
69387253,0,0.0,67
53669391,0,0.0,153
78181511,0,0.0,104
48660995,0,0.0,28
18234679,26,4.33,159
33240984,12,2.0,2
32383810,9,1.5,101
75438362,0,0.0,70
58566364,0,0.0,11
28727583,0,0.0,150
79019569,0,0.0,107
45156028,12,2.0,12
30568697,0,0.0,155
31900338,0,0.0,56
51311634,0,0.0,164
49902996,40,6.67,138
64481924,0,0.0,52
15723601,0,0.0,25
26618153,0,0.0,151
99165628,3,0.5,63
12382357,0,0.0,2
85012933,32,5.33,2
23630084,0,0.0,122
62576779,0,0.0,117
90890201,0,0.0,50
92537517,3,0.5,145
98132129,25,4.17,103
26099248,18,3.0,26
24677069,7,1.17,22
85589337,15,2.5,24
22433196,0,0.0,144
49010202,0,0.0,95
44626632,35,5.83,82
87998328,0,0.0,97
63237806,0,0.0,160
22457080,0,0.0,8
11222869,0,0.0,53
92716910,0,0.0,107
60066487,5,0.83,105
13125354,16,2.67,49
72802750,0,0.0,136
19818159,0,0.0,156
21145552,19,3.17,166
25152994,0,0.0,29
85191987,0,0.0,107
32937902,25,4.17,147
86415031,0,0.0,18
77744469,0,0.0,33
84588685,1,0.17,162
52758171,0,0.0,28
10067661,0,0.0,125
17585153,0,0.0,127
33335437,0,0.0,46
20466615,0,0.0,134
44861938,0,0.0,149
96787694,0,0.0,59
12966422,0,0.0,132
60154221,0,0.0,103
13708654,0,0.0,108
67647084,0,0.0,128
52573305,23,3.83,11
54653349,0,0.0,127
15872354,0,0.0,62
57756479,0,0.0,94
92649048,0,0.0,89
90123510,39,6.5,131
19810404,0,0.0,57
96205129,0,0.0,67
16292518,0,0.0,68
51142200,19,3.17,22
74413145,0,0.0,113
27547389,0,0.0,168
72132760,0,0.0,130
76689168,0,0.0,1
32419480,5,0.83,173
58766345,0,0.0,82
44021442,0,0.0,126
56523537,6,1.0,111
35153646,0,0.0,169
87620693,0,0.0,45
18411883,0,0.0,127
21082322,33,5.5,58
26203305,0,0.0,130
20848680,0,0.0,91
93031557,0,0.0,145
99838873,0,0.0,69
69292991,0,0.0,138
45555041,0,0.0,8
63028791,25,4.17,92
86301164,0,0.0,152
86658629,5,0.83,139
61646180,0,0.0,95
89357216,0,0.0,170
42359860,16,2.67,32
44499221,20,3.33,67
38272916,0,0.0,124
91861231,0,0.0,179
29032579,0,0.0,63
40354781,37,6.17,49
26514877,0,0.0,99
83545310,0,0.0,63
86165878,0,0.0,12
97554946,0,0.0,56
88350878,0,0.0,151
27810471,0,0.0,4
50636644,0,0.0,131
68534435,37,6.17,144
88550238,0,0.0,17
67975251,25,4.17,169
13094235,0,0.0,94
57870026,0,0.0,103
32763342,0,0.0,162
29636869,0,0.0,84
37132021,0,0.0,48
43942384,0,0.0,176
72867959,0,0.0,69
27807333,0,0.0,122
63228466,28,4.67,37
45912253,0,0.0,14
26263882,0,0.0,172
49138695,0,0.0,41
43799193,29,4.83,113
93721515,37,6.17,59
85495044,0,0.0,58
58014453,34,5.67,107
92405138,0,0.0,143
61569363,3,0.5,121
42686304,0,0.0,4
85149843,6,1.0,152
94740096,0,0.0,10
82456281,0,0.0,152
86362381,0,0.0,99
41699263,3,0.5,15
90480036,8,1.33,174
36216317,0,0.0,32
63215075,19,3.17,32
44970444,0,0.0,15
15752810,8,1.33,23
10571650,0,0.0,130
98362656,0,0.0,5
82017911,0,0.0,117
50435721,32,5.33,33
84531076,0,0.0,120
13757974,0,0.0,74
85900553,0,0.0,124
71119361,0,0.0,62
52321932,0,0.0,105
29931456,0,0.0,67
69376958,0,0.0,88
21643208,35,5.83,12
53928336,0,0.0,22
18112074,40,6.67,26
28967438,36,6.0,86
22138391,0,0.0,32
63050917,34,5.67,69
34012790,0,0.0,155
66004002,0,0.0,31
31982813,9,1.5,81
65616606,0,0.0,90
39967940,0,0.0,54
87822269,0,0.0,47
19742257,10,1.67,63
62044151,0,0.0,4
13609736,0,0.0,25
85169697,0,0.0,29
28161634,0,0.0,96
27163810,37,6.17,175
96755840,11,1.83,12
22225855,0,0.0,126
61424149,0,0.0,161
82347195,0,0.0,127
11135964,0,0.0,81
73446855,1,0.17,67
76318090,0,0.0,174
70203880,0,0.0,5
12155748,0,0.0,160
70676365,29,4.83,55
88542651,0,0.0,81
41808285,24,4.0,40
64256930,0,0.0,173
44427604,0,0.0,98
18910852,0,0.0,108
82764242,0,0.0,130
48428026,11,1.83,39
47617741,0,0.0,30
16941245,0,0.0,123
74770179,0,0.0,169
25876696,0,0.0,96
19451244,0,0.0,151
84926168,0,0.0,176
27606951,0,0.0,42
72056263,0,0.0,118
17021862,0,0.0,173
18351245,40,6.67,151
96448549,10,1.67,55
46640608,29,4.83,67
15345854,4,0.67,160
21683982,0,0.0,118
74365536,9,1.5,163
67821848,0,0.0,95
59875088,0,0.0,74
80790126,0,0.0,100
48187510,0,0.0,118
12609089,40,6.67,147
62840397,0,0.0,14
27691444,0,0.0,128
10953959,0,0.0,62
54132455,34,5.67,177
59818662,38,6.33,14
20016389,0,0.0,27
97255618,0,0.0,95
21630982,0,0.0,149
60676914,8,1.33,27
36704425,10,1.67,69
71298111,0,0.0,148
55014515,0,0.0,168
64869006,0,0.0,159
25586926,0,0.0,139
19496563,33,5.5,82
91143014,0,0.0,87
55745050,0,0.0,105
41556003,0,0.0,65
20321336,23,3.83,101
93667964,0,0.0,98
87859104,24,4.0,11
19803005,0,0.0,111
83205955,23,3.83,154
41738453,5,0.83,139
63509641,0,0.0,22
17583354,0,0.0,140
29908425,0,0.0,162
49367797,5,0.83,68
47612325,7,1.17,15
32468492,0,0.0,35
82506526,4,0.67,156
26413486,0,0.0,34
21606243,5,0.83,119
93752812,0,0.0,47
20688727,17,2.83,163
53842483,0,0.0,175
19828366,3,0.5,85
78914332,0,0.0,88
46982407,0,0.0,164
85623580,0,0.0,170
55103150,20,3.33,1
21618627,0,0.0,67
25043403,0,0.0,144
15525633,0,0.0,118
62411802,0,0.0,95
79353566,0,0.0,118
30154994,35,5.83,98
37695858,0,0.0,141
22920739,12,2.0,109
59282339,15,2.5,148
17726890,0,0.0,73
32674714,0,0.0,138
18357956,0,0.0,17
71413011,26,4.33,82
19451337,0,0.0,33
99729573,0,0.0,94
46940933,20,3.33,125
84504214,0,0.0,117
38688729,0,0.0,56
52019117,0,0.0,68
34062169,0,0.0,59
70628583,0,0.0,132
35291709,0,0.0,85
40256337,20,3.33,77
86039128,0,0.0,14
35836512,0,0.0,100
87782638,0,0.0,33
41549031,0,0.0,15
46346859,18,3.0,170
21309411,16,2.67,121
63689327,0,0.0,177
49302467,0,0.0,163
47944452,0,0.0,43
79790583,0,0.0,62
94776775,0,0.0,40
69220571,1,0.17,131
65684473,3,0.5,128
37580296,0,0.0,39
86796917,39,6.5,1
73655986,0,0.0,132
85996188,0,0.0,29
55084109,0,0.0,168
92972373,22,3.67,58
29053322,0,0.0,50
67292182,5,0.83,69
93700525,29,4.83,119
83684580,5,0.83,27
79111188,25,4.17,6
49816537,21,3.5,29
72671672,0,0.0,132
94380672,18,3.0,47
90908854,0,0.0,21
47132658,1,0.17,124
70749710,0,0.0,145
28492846,0,0.0,102
87652169,0,0.0,99
38088632,4,0.67,155
29894388,15,2.5,116
52827417,0,0.0,11
98121122,0,0.0,109
45453171,0,0.0,80
36395160,0,0.0,90
94903513,35,5.83,31
68435658,0,0.0,15
81769893,0,0.0,62
21149697,0,0.0,10
23757649,0,0.0,105
61913178,0,0.0,106
90535969,0,0.0,138
62418906,0,0.0,137
73213072,0,0.0,84
35146282,0,0.0,109
16857658,2,0.33,155
74164715,21,3.5,59
37915002,33,5.5,50
78105394,0,0.0,138
96487703,0,0.0,19
74991256,9,1.5,103
49785651,0,0.0,147
64440645,0,0.0,17
21292148,0,0.0,131
46919127,0,0.0,15
90074928,0,0.0,167
87688894,0,0.0,48
41199893,1,0.17,63
15786265,0,0.0,36
66240283,24,4.0,110
41299028,0,0.0,41
75170480,18,3.0,35
39168464,28,4.67,163
45966581,0,0.0,18
82507733,31,5.17,158
26405566,0,0.0,75
19427504,34,5.67,92
88795078,0,0.0,172
17022336,5,0.83,4
29655820,0,0.0,177
98213938,16,2.67,100
89594423,15,2.5,121
34210749,25,4.17,77
85761695,0,0.0,100
23691164,0,0.0,10
32761900,0,0.0,75
21707868,0,0.0,14
24246173,0,0.0,88
20055079,0,0.0,130
23781009,0,0.0,62
64952704,0,0.0,17
77812526,6,1.0,15
23769205,0,0.0,48
24013403,38,6.33,22
62991088,0,0.0,32
75954738,7,1.17,30
49648899,2,0.33,71
87462428,0,0.0,14
65849014,13,2.17,35
47003110,0,0.0,157
23942402,0,0.0,63
99097673,0,0.0,111
91602413,0,0.0,124
20669435,29,4.83,132
93750880,0,0.0,44
53728950,0,0.0,115
21484508,0,0.0,105
17449607,0,0.0,78
97929144,0,0.0,61
23839094,0,0.0,104
26701250,20,3.33,77
62934615,0,0.0,11
46992982,0,0.0,19
77185082,0,0.0,59
33656190,0,0.0,134
94656124,19,3.17,57
